(10000, 56) (10000, 5) (5000, 56)
2020-05-12T20:12:34.155598: step 1000, loss 1.99413, acc 0.5625
2020-05-12T20:15:05.281361: step 2000, loss 1.69374, acc 0.515625
2020-05-12T20:17:33.274710: step 3000, loss 1.32804, acc 0.53125
2020-05-12T20:19:39.411320: step 4000, loss 1.06679, acc 0.578125
2020-05-12T20:21:46.888334: step 5000, loss 0.90079, acc 0.703125
2020-05-12T20:23:54.640616: step 6000, loss 0.473917, acc 0.859375
2020-05-12T20:26:05.505576: step 7000, loss 0.991131, acc 0.625
2020-05-12T20:29:12.740755: step 8000, loss 0.741319, acc 0.6875
2020-05-12T20:31:50.177207: step 9000, loss 0.503581, acc 0.828125
2020-05-12T20:34:09.413443: step 10000, loss 0.76019, acc 0.71875
2020-05-12T20:36:14.170737: step 11000, loss 0.257596, acc 0.953125
2020-05-12T20:38:32.447870: step 12000, loss 0.621898, acc 0.765625
2020-05-12T20:40:42.427201: step 13000, loss 0.729812, acc 0.65625
2020-05-12T20:43:11.906377: step 14000, loss 0.767475, acc 0.71875
2020-05-12T20:46:14.698557: step 15000, loss 0.702263, acc 0.796875
2020-05-12T20:48:31.298174: step 16000, loss 0.477338, acc 0.84375
2020-05-12T20:50:49.700967: step 17000, loss 0.372962, acc 0.875
2020-05-12T20:53:11.596928: step 18000, loss 0.477302, acc 0.859375
2020-05-12T20:55:28.097815: step 19000, loss 0.512885, acc 0.765625
2020-05-12T20:57:41.875981: step 20000, loss 0.290544, acc 0.875
2020-05-12T20:59:50.491951: step 21000, loss 0.434911, acc 0.84375
2020-05-12T21:02:05.548336: step 22000, loss 0.337369, acc 0.859375
2020-05-12T21:04:25.450134: step 23000, loss 0.490549, acc 0.765625
2020-05-12T21:07:03.855565: step 24000, loss 0.165416, acc 0.96875
2020-05-12T21:10:29.744113: step 25000, loss 0.162131, acc 0.953125
2020-05-12T21:13:40.122569: step 26000, loss 0.314179, acc 0.890625
2020-05-12T21:16:09.800341: step 27000, loss 0.400793, acc 0.84375
2020-05-12T21:18:43.791335: step 28000, loss 0.274205, acc 0.875
2020-05-12T21:21:20.305557: step 29000, loss 0.234414, acc 0.90625
2020-05-12T21:23:54.518141: step 30000, loss 0.27091, acc 0.875
2020-05-12T21:26:31.263741: step 31000, loss 0.350703, acc 0.90625
